Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
delta_CAGR,0.0040161917957175376,-0.0013689521422871609,0.003538675656449164,0.011493945032599127,0.842,2000,12
delta_Sharpe,-0.008052437571093564,-0.03933620439243861,-0.007849499601234433,0.02103770620287189,0.3385,2000,12
delta_MDD,0.0015832530758013955,-0.004768867714399871,0.0001381109288554616,0.01050846736786095,0.524,2000,12
