Audit,Group,Feature,Horizon,Value,Observations
DTE_bucket_IC,07_14,pure_direction_raw,5d,0.039828926158244994,1361
DTE_bucket_IC,07_14,pure_direction_raw,20d,0.054249634534357924,1355
DTE_bucket_IC,07_14,option_direction_score,5d,0.03504074050337092,1361
DTE_bucket_IC,07_14,option_direction_score,20d,0.04785175371655418,1355
DTE_bucket_IC,15_30,pure_direction_raw,5d,-0.05476920122443065,2405
DTE_bucket_IC,15_30,pure_direction_raw,20d,-0.03384242005070861,2396
DTE_bucket_IC,15_30,option_direction_score,5d,-0.061252133232244196,2405
DTE_bucket_IC,15_30,option_direction_score,20d,-0.04807753446693241,2396
DTE_bucket_IC,31_45,pure_direction_raw,5d,-0.03612320679614245,165
DTE_bucket_IC,31_45,pure_direction_raw,20d,0.17267117249485753,165
DTE_bucket_IC,31_45,option_direction_score,5d,,165
DTE_bucket_IC,31_45,option_direction_score,20d,,165
recent_roll_IC,no_roll_within_5d,pure_direction_raw,5d,-0.023765298421791755,2684
recent_roll_IC,no_roll_within_5d,pure_direction_raw,20d,0.001508858084972871,2673
recent_roll_IC,no_roll_within_5d,option_direction_score,5d,-0.02721759124544955,2684
recent_roll_IC,no_roll_within_5d,option_direction_score,20d,-0.0011488950156118437,2673
recent_roll_IC,roll_within_5d,pure_direction_raw,5d,-0.002857379432901826,1247
recent_roll_IC,roll_within_5d,pure_direction_raw,20d,0.01953259895055756,1243
recent_roll_IC,roll_within_5d,option_direction_score,5d,,1247
recent_roll_IC,roll_within_5d,option_direction_score,20d,,1243
data_quality_period_mean,2007_2017,measurement,dte,17.983189241114314,2082
data_quality_period_mean,2007_2017,measurement,listed_contracts,61.014409221902014,2082
data_quality_period_mean,2007_2017,measurement,coverage_log_width,0.3162015231575418,2082
data_quality_period_mean,2007_2017,measurement,parity_nrmse,0.02414486594200636,2082
data_quality_period_mean,2007_2017,measurement,monotone_quality,0.9942030915829633,2082
data_quality_period_mean,2007_2017,measurement,convexity_quality,0.7721836349048302,2082
data_quality_period_mean,2007_2017,measurement,zero_or_missing_close_share,0.08010063892797353,2082
data_quality_period_mean,2007_2017,measurement,invalid_iv_share,0.08315406617564537,2082
data_quality_period_mean,2007_2017,measurement,put25_nearest_strike_distance,0.0026971438350126466,2082
data_quality_period_mean,2007_2017,measurement,data_quality_confidence,0.14944226583070463,2082
data_quality_period_mean,2018_2026,measurement,dte,18.012891344383057,1629
data_quality_period_mean,2018_2026,measurement,listed_contracts,226.81767955801104,1629
data_quality_period_mean,2018_2026,measurement,coverage_log_width,0.7048609407121076,1629
data_quality_period_mean,2018_2026,measurement,parity_nrmse,0.03886041187460177,1629
data_quality_period_mean,2018_2026,measurement,monotone_quality,0.9721854248904619,1629
data_quality_period_mean,2018_2026,measurement,convexity_quality,0.7803630983058634,1629
data_quality_period_mean,2018_2026,measurement,zero_or_missing_close_share,0.48396787801278374,1629
data_quality_period_mean,2018_2026,measurement,invalid_iv_share,0.04992120894314762,1629
data_quality_period_mean,2018_2026,measurement,put25_nearest_strike_distance,0.001823776694175934,1629
data_quality_period_mean,2018_2026,measurement,data_quality_confidence,0.22496114199515424,1629
