target_month,futures_signal_month,futures_signal_date,signed_close_theory_basis,basis_change_20d,oi_log_change_20d,futures_turnover,annualized_calendar_spread,futures_dislocation,near_days_to_expiry,near_contract_year_month,basis_change_z,oi_change_z,basis_oi_interaction_score,futures_dislocation_rank,stress_confirmation_multiplier,future_1m_return,future_3m_return,future_6m_return,recent_1m_return,realized_vol_21d,macro_fragility,vix6_stress_score,future_realized_vol_1m,future_max_drawdown_1m,future_max_drawdown_3m,future_left_tail_1m,stage20_return,stage14_return,stage20_w_kodex200,stage14_w_kodex200,stage20_defense,stage20_false_positive_1m
2007-04,2007-03,2007-03-08,-0.0037512232249646837,-0.0024597897337894636,-0.6037244264824432,3.986962231115558,0.056478587953497805,0.0037512232249646837,1.0,200703.0,-0.2543586660320558,-1.558582016678006,0.396438842663769,0.5610687022900763,1.1221374045801527,0.06227067269343256,0.17458122839670298,0.3156075511831964,0.033980315610051104,0.1743775023391987,0.5844202898550726,0.44154815101722783,0.11657539387442617,0.013785413815822878,0.037940971009430724,0.0,0.0155440396035794,0.0341692621561492,0.2951469627581009,0.585419776228641,1.0,1.0
2007-05,2007-04,2007-04-30,0.0009010361916201859,0.00415699669997005,0.0017064225284674302,1.5281799519925274,0.030973042025024905,-0.0009010361916201859,46.0,200706.0,0.04204582295107357,0.2643149469485975,0.011113339462723132,0.3371212121212121,0.6742424242424242,0.09135963155786953,0.21460752903484193,0.31688025630756944,0.06227067269343256,0.11657539387442381,0.484187090336912,0.4955475396676942,0.10226047794031679,0.009986426216792799,0.061394872602685835,0.0,0.0297388387934952,0.0898011355775438,0.3082727969008072,0.9958179656370744,1.0,1.0
2007-06,2007-05,2007-05-31,0.0015216489140958966,0.0027154411942390544,0.19909867706020684,1.7853691215220402,0.02668787666691745,-0.0015216489140958966,15.0,200706.0,-0.022711074770276073,0.8530853798832552,-0.019374485847957975,0.2894736842105263,0.5789473684210527,0.013164533736984563,0.09462868675748815,0.10981147653777357,0.09135963155786953,0.10226047794031405,0.5403711811654051,0.5871695775491049,0.1751500051091523,0.037940971009430835,0.1786319064309062,0.0,0.0099577434147433,0.0100254957125352,0.8787214702265292,0.8837438270499598,1.0,1.0
2007-07,2007-06,2007-06-14,-0.006504499688140486,-0.0034811418103426472,-0.4259959275352297,2.0197668707246654,0.04471605968301301,0.006504499688140486,1.0,200706.0,-0.3013616149230229,-1.0222760737538263,0.30807476848362036,0.6902985074626866,1.3805970149253732,0.09846975733429919,0.12006519377037339,0.08869069177834166,0.013164533736984563,0.18529225068506205,0.5053424251537459,0.4727490475190912,0.25477217948201264,0.06139487260268561,0.17863190643090598,0.0,0.0831477563383442,0.0917206219269445,0.8326560689464555,0.9253472067853322,1.0,1.0
2007-08,2007-07,2007-07-31,-0.0021153689691643107,0.002069653057267362,0.035024662772817676,2.6565977218554684,0.026889412512081306,0.0021153689691643107,45.0,200709.0,-0.049596030169194956,0.36434819619870296,-0.018070224130762636,0.45555555555555555,0.9111111111111111,-0.016444792482380732,0.08420228331203927,-0.13316572559040474,0.09846975733429919,0.2547721794820116,0.5635901967596106,0.6341131253053367,0.41891395875810056,0.14632449246889323,0.14632449246889323,0.0,-0.0126814815414119,-0.0144182747911066,0.707913699980044,0.8569905639796112,1.0,0.0
2007-09,2007-08,2007-08-31,0.0011309847945377705,0.007763355867196231,-0.10014859877131685,2.20083795585979,0.0284290592636617,-0.0011309847945377705,14.0,200709.0,0.20854447218546407,-0.04277532147538863,-0.008920556839648468,0.31985294117647056,0.6397058823529411,0.03670801206838781,0.013870264834059842,-0.11058498156218532,-0.016444792482380732,0.4032748919441088,0.533153460094663,0.676341430829936,0.24423766744995717,0.04244397145361212,0.13856848216331819,0.0,0.025314446701226,0.032479092307547,0.6696250130701498,0.8610505240252416,1.0,1.0
2007-10,2007-09,2007-09-13,-0.0017531856666382906,0.003049622128688201,-0.5286414106823466,3.8194455146480912,0.03166023764258634,0.0017531856666382906,1.0,200709.0,-0.006571447091476304,-1.333137555329253,0.008760642910506251,0.4197080291970803,0.8394160583941606,0.06329830234438161,-0.028011317704122796,-0.12194826192400943,0.03670801206838781,0.2300632982386138,0.5417626728110598,0.5193018641774033,0.2594604283018547,0.08356886410511022,0.1385684821633183,0.0,0.0475678543239242,0.0567934199476287,0.7336280581663466,0.8822286655747735,1.0,1.0
2007-11,2007-10,2007-10-31,-0.0009921392047622657,-0.0005682634388958219,-0.0035731799456723687,1.7090493862403655,-0.031531281057241074,0.0009921392047622657,44.0,200712.0,-0.17165062870672537,0.2572527466543664,-0.044157595699753936,0.38768115942028986,0.7753623188405797,-0.08024785220101893,-0.200486581008135,-0.09245039154565471,0.06329830234438161,0.2649451787730268,0.3443009566617651,0.7818130798505039,0.32546350488252124,0.1350667280257708,0.21958889400214754,0.0,-0.0538773640641491,-0.06176432402374,0.6781135653357445,0.80150192069559,1.0,0.0
2007-12,2007-11,2007-11-30,0.001485209785882402,0.008977307963585535,0.04348960350570076,2.028108873606626,-0.014069304260881696,-0.001485209785882402,14.0,200712.0,0.2661521662559889,0.3980937179097498,0.10595350539458048,0.2841726618705036,0.5683453237410072,-0.006116966315354189,-0.12275263484190924,-0.020830750154990252,-0.08024785220101893,0.3330715420824981,0.44455432567709263,0.6626775724585523,0.21895892164589154,0.06129071025117172,0.18479349437167003,0.0,0.0229616355643065,0.0250416491752838,0.4659336950582985,0.6582073324481327,1.0,1.0
2008-01,2007-12,2007-12-13,-0.005750173320827057,-0.0034958357337734336,-0.45649797922778373,3.3460930360743246,-0.0388496563250707,0.005750173320827057,1.0,200712.0,-0.3080441590837335,-1.1149570236743107,0.3434559987722554,0.6678571428571428,1.3357142857142856,-0.12537946521395604,-0.09664407202561631,-0.11157316921029636,-0.006116966315354189,0.23076727031962327,0.5239532125125346,0.5132411542673639,0.3121134832121999,0.15654660753512661,0.17237949185559753,1.0,0.0138730980891161,-0.0405303645040715,0.3631966402854762,0.6379176272120374,1.0,0.0
