HorizonMonths,Model,Observations,BasisStandardizedBeta,BasisHACPValue,BasisSpearmanIC,BasisSpearmanICPValue,OIStandardizedBeta,OIHACPValue,InteractionStandardizedBeta,InteractionHACPValue,AdjustedR2,ExpectedBasisSign,ExpectedInteractionSign,HACLags
1,BasisOnly,232,0.004695067160209826,0.14828006937694366,0.05501942189821425,0.4042041125980435,,,,,0.0003284124183143833,positive,positive,1
1,BasisFullControls,232,0.0017913522011584252,0.6697692354715814,0.05501942189821425,0.4042041125980435,,,,,0.023448885070576853,positive,positive,1
1,BasisOIInteractionFullControls,232,0.0015499513641105795,0.7138722968131201,0.05501942189821425,0.4042041125980435,-0.0037304553069141006,0.5008761699485558,-0.001790776591026395,0.7370496553942271,0.01805076400054073,positive,positive,1
3,BasisOnly,230,0.0022163438766761986,0.7469787819924082,-0.048835804408236524,0.4611002887614241,,,,,-0.004075567395828816,positive,positive,3
3,BasisFullControls,230,-0.012563154356717999,0.0850926679098386,-0.048835804408236524,0.4611002887614241,,,,,0.18247350792995343,positive,positive,3
3,BasisOIInteractionFullControls,230,-0.013597079702870756,0.05547165133354824,-0.048835804408236524,0.4611002887614241,-0.01014856823138973,0.20359979049639998,-0.007866281601836108,0.4285347844998576,0.183754941112665,positive,positive,3
6,BasisOnly,227,0.009656742772070091,0.37981135639948094,-0.05662342085770741,0.3958314385996546,,,,,-0.0026251287970331383,positive,positive,6
6,BasisFullControls,227,-0.01333552678345469,0.33220043495652696,-0.05662342085770741,0.3958314385996546,,,,,0.1779639210045787,positive,positive,6
6,BasisOIInteractionFullControls,227,-0.015331816009933559,0.21663856624983446,-0.05662342085770741,0.3958314385996546,-0.014655212601378285,0.20412779977444973,-0.015727701683130875,0.35807643288303803,0.17740791371527753,positive,positive,6
